column1,column2,column3,column4,column5,column6,column7,column8,column9,column10,column11,column12,column13,column14
4964889484,1,2020.05.04,911,GD 신규경상 소비,100630,"옥외용비닐절연전선,OW,150MM2,19EA,3.2MM",8510,0110,549320203645 ,-7,M,-59261,N1
4964889484,2,2020.05.04,911,GD 신규경상 소비,101903,"주상변압기행거밴드,3대용,S-3,220MM,280MM",8510,0110,549320203645 ,-1,SET,-32461,N1
4964889485,1,2020.05.04,911,GD 신규경상 소비,101888,"지선밴드,2방,200MM,260MM",8510,0110,549380203816 ,-2,EA,-8924,N1
4964889486,3,2020.05.04,911,GD 신규경상 소비,101113,"가공지선지지대,일반형,1630MM,300KGF",8510,0110,549320203897 ,-5,EA,-117897,N1
4964889486,2,2020.05.04,911,GD 신규경상 소비,101888,"지선밴드,2방,200MM,260MM",8510,0110,549320203897 ,-2,EA,-8924,N1
4964889486,1,2020.05.04,911,GD 신규경상 소비,101903,"주상변압기행거밴드,3대용,S-3,220MM,280MM",8510,0110,549320203897 ,-1,SET,-32461,N1
4964889487,1,2020.05.04,911,GD 신규경상 소비,101888,"지선밴드,2방,200MM,260MM",8510,0110,549320203894 ,-1,EA,-4462,N1
4964889488,2,2020.05.04,911,GD 신규경상 소비,100686,"특고압인하용절연전선,PDC,5.0MM,1EA,5.0MM",8510,0110,541320203526 ,-12,M,-30502,N1
4964889488,4,2020.05.04,911,GD 신규경상 소비,101876,"완철밴드,단완철용,1방3호,200MM,238MM",8510,0110,541320203526 ,-4,EA,-27772,N1
4964889488,3,2020.05.04,911,GD 신규경상 소비,101903,"주상변압기행거밴드,3대용,S-3,220MM,280MM",8510,0110,541320203526 ,-3,SET,-97382,N1
4964889488,5,2020.05.04,911,GD 신규경상 소비,102000,"활선클램프,소형,분기고리측,경동선 6.5MM",8510,0110,541320203526 ,-6,EA,-26147,N1
4964889488,1,2020.05.04,911,GD 신규경상 소비,121454,"컷아웃스위치,폴리머,25.8KV,100A",8510,0110,541320203526 ,-6,EA,-408382,N1
4964889489,1,2020.05.04,911,GD 신규경상 소비,101888,"지선밴드,2방,200MM,260MM",8510,0110,549380203850 ,-1,EA,-4462,N1
4964893440,2,2020.05.04,911,GD 신규경상 소비,101888,"지선밴드,2방,200MM,260MM",8510,0110,549320203772 ,-2,EA,-8924,N1
4964893440,1,2020.05.04,911,GD 신규경상 소비,101903,"주상변압기행거밴드,3대용,S-3,220MM,280MM",8510,0110,549320203772 ,-1,SET,-32461,N1
4964893441,1,2020.05.04,911,GD 신규경상 소비,101113,"가공지선지지대,일반형,1630MM,300KGF",8510,0110,541320203401 ,-1,EA,-23579,N1
4964893441,3,2020.05.04,911,GD 신규경상 소비,101619,"인장클램프,WDA-2,ACSR 95MM2,쇄기형",8510,0110,541320203401 ,-2,EA,-11467,N1
4964893441,2,2020.05.04,911,GD 신규경상 소비,101620,"인장클램프,WDA-3,ACSR 160MM2,쇄기형",8510,0110,541320203401 ,-9,EA,-59338,N1
4964893442,2,2020.05.04,911,GD 신규경상 소비,101888,"지선밴드,2방,200MM,260MM",8510,0110,549320203852 ,-3,EA,-13387,N1
4964893442,1,2020.05.04,911,GD 신규경상 소비,101903,"주상변압기행거밴드,3대용,S-3,220MM,280MM",8510,0110,549320203852 ,-1,SET,-32461,N1
4964893443,1,2020.05.04,911,GD 신규경상 소비,101113,"가공지선지지대,일반형,1630MM,300KGF",8510,0110,541320194711 ,-1,EA,-23580,N1
4964893444,2,2020.05.04,911,GD 신규경상 소비,101618,"인장클램프,WDA-1,ACSR 32, 58MM2,쇄기형",8510,0110,549320195661 ,-8,EA,-46064,N1
4964893444,1,2020.05.04,911,GD 신규경상 소비,101903,"주상변압기행거밴드,3대용,S-3,220MM,280MM",8510,0110,549320195661 ,-3,SET,-97382,N1
4964893445,2,2020.05.04,911,GD 신규경상 소비,101102,"저압가선용랙크,2선용,50MM,409MM,100MM",8510,0110,549320203825 ,-3,EA,-9702,N1
4964893445,1,2020.05.04,911,GD 신규경상 소비,101888,"지선밴드,2방,200MM,260MM",8510,0110,549320203825 ,-1,EA,-4462,N1
4964893446,1,2020.05.04,911,GD 신규경상 소비,101113,"가공지선지지대,일반형,1630MM,300KGF",8510,0110,541320193282 ,-5,EA,-117897,N1
4964893447,2,2020.05.04,911,GD 신규경상 소비,101102,"저압가선용랙크,2선용,50MM,409MM,100MM",8510,0110,549320203789 ,-1,EA,-3234,N1
4964893447,3,2020.05.04,911,GD 신규경상 소비,101618,"인장클램프,WDA-1,ACSR 32, 58MM2,쇄기형",8510,0110,549320203789 ,-35,EA,-201530,N1
4964893447,1,2020.05.04,911,GD 신규경상 소비,101888,"지선밴드,2방,200MM,260MM",8510,0110,549320203789 ,-3,EA,-13387,N1
4964893448,1,2020.05.04,911,GD 신규경상 소비,100513,"나경동연선,PH(HDCC),100MM2,19EA,2.6MM",8510,0110,541320203449 ,-40,M,-219147,N1
4964893449,1,2020.05.04,911,GD 신규경상 소비,101903,"주상변압기행거밴드,3대용,S-3,220MM,280MM",8510,0110,549320203871 ,-1,SET,-32461,N1
4964893450,1,2020.05.04,911,GD 신규경상 소비,101888,"지선밴드,2방,200MM,260MM",8510,0110,549380203789 ,-1,EA,-4462,N1
4964893451,2,2020.05.04,911,GD 신규경상 소비,101618,"인장클램프,WDA-1,ACSR 32, 58MM2,쇄기형",8510,0110,549320203773 ,-23,EA,-132434,N1
4964893451,1,2020.05.04,911,GD 신규경상 소비,101903,"주상변압기행거밴드,3대용,S-3,220MM,280MM",8510,0110,549320203773 ,-1,SET,-32461,N1
4964893452,1,2020.05.04,911,GD 신규경상 소비,101888,"지선밴드,2방,200MM,260MM",8510,0110,543120203330 ,-2,EA,-8924,N1
4964893453,1,2020.05.04,911,GD 신규경상 소비,101102,"저압가선용랙크,2선용,50MM,409MM,100MM",8510,0110,549320203809 ,-3,EA,-9702,N1
4964893454,1,2020.05.04,911,GD 신규경상 소비,101903,"주상변압기행거밴드,3대용,S-3,220MM,280MM",8510,0110,541320185018 ,-1,SET,-32461,N1
4964893455,2,2020.05.04,911,GD 신규경상 소비,101888,"지선밴드,2방,200MM,260MM",8510,0110,549320203853 ,-6,EA,-26773,N1
4964893455,1,2020.05.04,911,GD 신규경상 소비,101903,"주상변압기행거밴드,3대용,S-3,220MM,280MM",8510,0110,549320203853 ,-1,SET,-32461,N1
4964893456,1,2020.05.04,911,GD 신규경상 소비,101888,"지선밴드,2방,200MM,260MM",8510,0110,549320203834 ,-1,EA,-4462,N1
4964893457,2,2020.05.04,911,GD 신규경상 소비,101618,"인장클램프,WDA-1,ACSR 32, 58MM2,쇄기형",8510,0110,549320203788 ,-8,EA,-46064,N1
4964893457,1,2020.05.04,911,GD 신규경상 소비,101903,"주상변압기행거밴드,3대용,S-3,220MM,280MM",8510,0110,549320203788 ,-1,SET,-32461,N1
4964893458,1,2020.05.04,911,GD 신규경상 소비,101888,"지선밴드,2방,200MM,260MM",8510,0110,549320203830 ,-1,EA,-4462,N1
4964893459,1,2020.05.04,911,GD 신규경상 소비,100585,"알루미늄절연전선,ACSR/AW-TR/OC,160MM2",8510,0110,541320185033 ,-24,M,-74022,N1
4964893460,2,2020.05.04,911,GD 신규경상 소비,101102,"저압가선용랙크,2선용,50MM,409MM,100MM",8510,0110,549320203774 ,-2,EA,-6468,N1
4964893460,1,2020.05.04,911,GD 신규경상 소비,120687,"분기슬리브,BSC-1GW,CU25MM2,CU35MM2",8510,0110,549320203774 ,-1,EA,-3022,N1
4964893461,1,2020.05.04,911,GD 신규경상 소비,101888,"지선밴드,2방,200MM,260MM",8510,0110,549320203815 ,-1,EA,-4462,N1
4964893462,2,2020.05.04,911,GD 신규경상 소비,101903,"주상변압기행거밴드,3대용,S-3,220MM,280MM",8510,0110,549320203775 ,-1,SET,-32461,N1
4964893462,1,2020.05.04,911,GD 신규경상 소비,120687,"분기슬리브,BSC-1GW,CU25MM2,CU35MM2",8510,0110,549320203775 ,-9,EA,-27202,N1
